Test/F1@1,Test/F1@2,Test/F1@5,Test/F1@10,Test/Pr@1,Test/Pr@2,Test/Pr@5,Test/Pr@10,Test/Re@1,Test/Re@2,Test/Re@5,Test/Re@10,Test/Rev@1,Test/Rev@2,Test/Rev@5,Test/Rev@10
,,,,,,,,,,,,,,,
0.0848522941546197,0.0815031722791605,0.0693348914207809,0.0736915806056362,0.1473263004728992,0.0911406221575404,0.0518157339349392,0.0459590262363087,0.0595851110784169,0.0737089892599676,0.1047520965131675,0.1858172723260261,0.1018125385037174,0.1381562926772499,0.1924631734346434,0.296629890070332
0.1627906976744186,0.176183504148365,0.169052488070893,0.1806406441449326,0.2826482357220807,0.1970165544842641,0.1263372389200203,0.1126596557621629,0.1143151390319258,0.1593350007356186,0.2554067971163749,0.4554950713550095,0.1293931357817096,0.1625930490079727,0.2760102670529582,0.4387861481129035
0.17557091975696626,0.2476004555067512,0.2753919563735514,0.2171655289106716,0.3048381229538013,0.2768782972530471,0.205807437595517,0.135439030602962,0.1232896866264528,0.2239223186700014,0.4160659114315139,0.5475945269972047,0.1477727587408294,0.197348562057112,0.3021554348487614,0.3947180705452198
------------
stratified
,,,,,,,,,,,,,,,
0.11272917757988477,0.13128355295265984,0.1449162446435528,0.14545772798879747,0.1957787481804949,0.14680734946334364,0.10830482567872479,0.09071722280848586,0.07915256730910696,0.11872885096366044,0.21892011181403562,0.3667794615271443,0.08847097749186465,0.14422386696054362,0.2905505821876435,0.42068385886997484

------
random
